"name","price_amount"
"Biovitrum","$493,000,000.00"
"BiPar Sciences","$500,000,000.00"
"BitArmor Systems",""
"Bitboys Oy",""
"Bitboys Oy","$44,000,000.00"
"Bitdeli",""
"Bitfone Corporation",""
"BitLeap",""
"Bitzer Mobile",""
"BIW Technologies",""
"Bix",""
"Bixti.com",""
"Biz360",""
"Bizanga",""
"Bizo","$175,000,000.00"
"Bizpora",""
"Black Lotus",""
"Black Sand Technologies",""
"BlackArrow",""
"BlackLocus",""
"Blacksumac",""
"BLADE Network Technologies",""
"BladeLogic","$800,000,000.00"
"Blayze Inc.",""
"Blaze.io",""
"Blekko",""
"Blendspace",""
"Blink Booking",""
"blinkbox","$5,000,000.00"
"Blip",""
"BlockBeacon",""
"Blockboard",""
"BlogHer",""
"blogTV",""
"Bloomspot",""
"Bloomspot",""
"Blue Belt Technologies","$275,000,000.00"
"Blue Box",""
"Blue Lane Technologies","$15,000,000.00"
"Blue Ocean Software",""
"Blue Pumpkin Software",""
"BlueArc",""
"Bluefin Labs","$80,000,000.00"
"BlueKai",""
"BlueKite","$15,000,000.00"
"blueKiwi",""
"BlueLithium","$300,000,000.00"
"BlueNote Networks",""
"BlueRoads",""
"Bluesocket",""
"BlueSprig","$10,000,000.00"
"Bluestem Brands","$565,000,000.00"
"Bluestreak Technology",""
"BlueStripe",""
"BMEYE",""
"BNI Video","$99,000,000.00"
"BodyMedia","$100,000,000.00"
"Boku, Inc.",""
"Bolsa de Mulher Group",""
"Bon-Priv̩",""
"BONDS.COM",""
"Bonfaire",""
"BookFresh",""
"BookFresh",""
"BookitNow!",""
"Booklr",""
"Bookpad",""
"Bookya.de",""
"Boomi",""
"Boonty",""
"BooRah",""
"Booshaka",""
"Booxmedia","$7,900,000.00"
"Borderfree","$395,000,000.00"
"Boston Biomedical",""
"Boston Heart Diagnostics","$140,000,000.00"
"Boticca",""
"Boundless",""
"Boundless Network",""
"Boxbe",""
"Boxcar",""
"Boxcar",""
"Boxee",""
"Boxee","$30,000,000.00"
"Boxer",""
"BoxTone",""
"BPL Global",""
"Brabeion Software",""
"Bragster",""
"Braintree","$800,000,000.00"
"Branch","$15,000,000.00"
"BranchOut",""
"Brand.net",""
"Extreme Reach (formerly BrandAds)",""
"Branded Payment Solutions","$3,100,000.00"
"brands4friends","$200,000,000.00"
"Brandtology",""
"Breach Security",""
"Bread",""
"Break Media",""
"BreakingPoint Systems","$160,000,000.00"
"BreconRidge","$53,000,000.00"
"Brenco",""
"BridgeCo",""
"BridgeLux",""
"BridgePoint Medical",""
"BridgePort Networks",""
"Bridgestream",""
"Bridgewater Systems",""
"Bright.com","$120,000,000.00"
"BrightContext",""
"Brightkit",""
"Brightkite",""
"BrightNest","$6,300,000.00"
"BrightRoll","$640,000,000.00"
"Brightstar",""
"BrightWhistle","$20,000,000.00"
"Brijot Imaging Systems",""
"BringIt",""
"Brion Technologies","$270,000,000.00"
"Brix Networks",""
"Broadbus Technologies","$181,000,000.00"
"Broadcast.com","$5,700,000,000.00"
"BroadHop",""
"BroadLight","$230,000,000.00"
"BroadLogic Network Technologies",""
"BroadSource",""
"BroadWare Technologies",""
"Brokat",""
"Bswift","$400,000,000.00"
"bTendo",""
"Bubbly",""
"Bubbli",""
"Buccaneer",""
"Salesforce Buddy Media","$689,000,000.00"
"BufferBox",""
"BugSense",""
"BuildForge",""
"BUKA","$80,000,000.00"
"BULX",""
"Bump Technologies","$30,000,000.00"
"BumpTop",""
"Bundle",""
"Bureau Of Trade",""
"Burstly",""
"Buscape","$374,000,000.00"
"Business Engine",""
"Business Horizons LCO",""
"Business Insider","$343,000,000.00"
"Business Monitor International",""
"Business Only Broadband",""
"buuteeq",""
"Pounce",""
"Buysight",""
"Buyt.In",""
"BuyVIP",""
"BuyWithMe",""
"BuyYourFriendADrink.com",""
"Buzzmetrics",""
"BuzzTable",""
"BuzzTable",""
"ByAllAccounts","$28,000,000.00"
"Byliner",""
"ByteLight",""
"Bytemobile",""
"BzzAgent","$60,000,000.00"
"C-nario",""
"C-sam",""
"C9 Inc.",""
"Cabana",""
"Cabforce",""
"Cache IQ",""
"Cadence Pharmaceuticals","$1,300,000,000.00"
"Cadent",""
"Locately",""
"Cake Financial",""
"Calibra Medical",""
"California Apostille Services",""
"California Apostille Services",""
"California Apostille Services",""
"California Apostille Services",""
"California Apostille Services",""
"California Linear Devices",""
"California Stem Cell","$124,000,000.00"
"Caliper Life Sciences","$600,000,000.00"
"Calista Technologies",""
"Calistoga Pharmaceuticals","$375,000,000.00"
"Callidus Biopharma",""
"CallTech Communications",""
"CalmSea",""
"Calpurnia Corporation",""
"Calypso Medical",""
"Calypto Design Systems",""
"Cambridge Positioning Systems","$35,000,000.00"
"CambridgeSoft",""
"Cameo",""
"Camerama",""
"Camero",""
"Cameron Health",""
"Camiant",""
"Campanja",""
"Campfire",""
"Candescent Healing",""
"Canesta",""
"Canpages","$225,000,000.00"
"Cantametrix",""
"Canwest",""
"Cape Clear Software",""
"CapitalSource",""
"CapitalStream",""
"Capptain",""
"Capsule Tech",""
"Captivate Network",""
"Carbon Ads",""
"Carbon Black",""
"Card Capture Services",""
"card.io",""
"Cardiac Pathways Corp",""
"CardiAQ Valve Technologies","$350,000,000.00"
"Cardiocore",""
"CardioGen Sciences",""
"CardioInsight Technologies","$93,000,000.00"
"Cardiokine",""
"CardioMEMS","$455,000,000.00"
"CardioMEMS",""
"Cardioxyl Pharmaceuticals","$2,000,000,000.00"
"CardMunch",""
"CarDomain Network",""
"Cardpool",""
"CardSpring",""
"CardStar",""
"Care Team Connect",""
"Carefx",""
"CareGain",""
"CareinSync",""
"CarePoint Partners","$223,000,000.00"
"Carmel Pharma",""
"Carmenta Bioscience",""
"Carmine",""
"carpooling.com",""
"Cartavi",""
"Cartela AB","$616,000.00"
"CarWale","$90,000,000.00"
"CarWale",""
"CarZen",""
"Casabi","$1,950,000.00"
"Casacanda",""
"Casero",""
"CashEdge","$465,000,000.00"
"Caspida",""
"Cassatt",""
"Castek",""
"CasterStats",""
"Cast Iron Systems",""
"CastTV",""
"Catapult Genetics",""
"Catapult International",""
"Catena Networks",""
"Causata",""
"Causes",""
"Caviar","$90,000,000.00"
"Threadbox",""
"cCAM Biotherapeutics","$95,000,000.00"
"CDB Infotek",""
"CDC Software",""
"Cedar Point Communications",""
"Cedarburg Hauser Pharmaceuticals","$41,000,000.00"
"Celequest Corp",""
"Celestial Semiconductor",""
"Cell Again",""
"CellBiosciences",""
"Cellectar",""
"Celleration","$30,400,000.00"
"Celletra",""
"Cellfire",""
"Cellity",""
"Clever Sense",""
"CellPoint Diagnostics",""
"CellTran","$109,000.00"
"Cellular Dynamics International","$307,000,000.00"
"CellzDirect","$57,000,000.00"
"CELtrak",""
"Cemaphore Systems",""
"Centerbeam, Inc.","$22,000,000.00"
"CenterPost Communications",""
"Centive",""
"Central Desktop",""
"Centrality Communications",""
"CentrePath",""
"Cenzic",""
"Ceon",""
"Ceptaris Therapeutics","$250,000,000.00"
"Ception Therapeutics","$250,000,000.00"
"Cequint",""
"Ceregene",""
"Ceros",""
"Certess",""
"Certify Data Systems",""
"Cervalis","$400,000,000.00"
"CGI Pharmaceuticals","$120,000,000.00"
"Chai Labs","$10,000,000.00"
"Chalk","$23,125,000.00"
"Chalkable","$10,000,000.00"
"Challenge Games","$20,500,000.00"
"Change Healthcare","$135,000,000.00"
"Chango","$122,000,000.00"
"Channel Intelligence","$125,000,000.00"
"ChannelWave",""
"Chantest","$54,000,000.00"
"Chaparral Network Storage",""
"Charitybuzz",""
"Charles Schwab",""
"Chase Federal Bank",""
"Chatham Therapeutics","$70,000,000.00"
"Chelsea Therapeutics International",""
"ChessPark",""
"CHF Solutions",""
"CHiL Semiconductor","$75,000,000.00"
